"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 08 14:23:56 GMT 2024","Fri Mar 08 14:24:52 GMT 2024","56353","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTeamCityTest","com.example.teamcity.ui.SetupTeamCityTest","startUpTest","startUpTest",""
"passed","Fri Mar 08 14:26:03 GMT 2024","Fri Mar 08 14:26:16 GMT 2024","13525","Surefire suite","Surefire test","com.example.teamcity.api.SetupAgentTest","com.example.teamcity.api.SetupAgentTest","authorizeAgent","authorizeAgent",""
"broken","Fri Mar 08 14:26:30 GMT 2024","Fri Mar 08 14:26:34 GMT 2024","3601","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
