"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 07 01:29:38 GMT 2024","Thu Mar 07 01:29:54 GMT 2024","15715","Surefire suite","Surefire test","com.example.teamcity.api.SetupAgentTest","com.example.teamcity.api.SetupAgentTest","authorizeAgent","authorizeAgent",""
"broken","Thu Mar 07 01:30:05 GMT 2024","Thu Mar 07 01:30:08 GMT 2024","3644","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildConfigurationTest","buildConfigurationTest",""
"passed","Thu Mar 07 01:27:34 GMT 2024","Thu Mar 07 01:28:30 GMT 2024","55755","Surefire suite","Surefire test","com.example.teamcity.ui.SetupTeamCityTest","com.example.teamcity.ui.SetupTeamCityTest","startUpTest","startUpTest",""
